Portal,Tipo_Mercado,Moneda_Original,Codigo,Nombre Oferta,Empresa,Ubicacion,Modalidad,Seniority,Nivel_Educacion,Anios_Experiencia,Salario_COP,Salario_Millones,Habilidad,URL
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,Python,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,SQL,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,Spark / PySpark,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,Databricks,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,Azure,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,Google Cloud (GCP),https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,Machine Learning General,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Local (Colombia - COP),COP,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4",Remoto,Senior (4-5 años),Universidad / Carrera Profesional,5.0,12000000.0,12.0,Bases de Datos NoSQL,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0
CompuTrabajo,Mercado Internacional (Remoto - USD),CAD,A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3.0,,,Python,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-1
CompuTrabajo,Mercado Internacional (Remoto - USD),CAD,A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3.0,,,SQL,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-1
CompuTrabajo,Mercado Internacional (Remoto - USD),CAD,A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3.0,,,Power BI,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-1
CompuTrabajo,Mercado Internacional (Remoto - USD),CAD,A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3.0,,,Tableau,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-1
CompuTrabajo,Mercado Internacional (Remoto - USD),CAD,A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3.0,,,Databricks,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-1
CompuTrabajo,Mercado Internacional (Remoto - USD),CAD,A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3.0,,,AWS,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-1
