Portal,Rol_Buscado,Codigo,Nombre Oferta,Empresa,Ubicacion,Salario,Modalidad,Fecha Publicacion,Descripcion,Requisitos,URL,Nivel_Educacion,Anios_Experiencia,Conocimientos_Explicitos,Idiomas,Habilidades_Tecnicas,Total_Habilidades_Detectadas,Moneda_Original,Tipo_Mercado,Salario_COP,Salario_Millones,Seniority,Nivel_Educativo_Ordinal,Skill_Python,Skill_R,Skill_SQL,Skill_Scala,Skill_Java / C++,Skill_Power BI,Skill_Tableau,Skill_Excel Avanzado,Skill_Looker,Skill_Qlik,Skill_Spark / PySpark,Skill_Databricks,Skill_Hadoop / Hive,Skill_Kafka,Skill_AWS,Skill_Azure,Skill_Google Cloud (GCP),Skill_Machine Learning General,Skill_Deep Learning,Skill_NLP / LLMs,Skill_Computer Vision,Skill_Scikit-Learn,Skill_TensorFlow / Keras,Skill_PyTorch,Skill_Estadística / Modelamiento,Skill_ETL / Pipelines de Datos,Skill_Airflow,Skill_Docker / Kubernetes,Skill_Git / Control de Versiones,Skill_Bases de Datos NoSQL,Skill_MLOps
CompuTrabajo,cientifico-de-datos,EF90507BD6D7058B61373E686DCF3405,Cientifico de Datos experiencia en IA,ZEMSANIA COLOMBIA SAS,"4,4","$ 12.000.000,00 (Mensual)",Remoto,Hace  8  horas,"Condiciones de la oportunidad
Contrato Obra Labor o bajo prestación de servicios
Modalidad: 100% Remota, Colombia
Salario: A convenir
Requisitos indispensables
5+ años de experiencia profesional en tecnología/data science.
3+ años de experiencia en backend, Data Science e Inteligencia Artificial.
Experiencia sólida en Python.
Experiencia con Google Agent Development Kit (ADK).
Experiencia en Machine Learning, IA Generativa o LLMs.
Manejo de SQL y PySpark.
Experiencia con GCP y conocimientos de Azure.
Conocimientos de arquitectura de sistemas y microservicios.
Experiencia con Asyncio y FastAPI.
Experiencia con BigQuery, Dataproc, Dataflow, Dataplex o Composer.
Conocimiento de Databricks y/o Snowflake.
Experiencia con bases de datos como PostgreSQL, SQL Server u Oracle.
Conocimiento de bases de datos NoSQL como MongoDB, Redis, DynamoDB, Bigtable, Cassandra o HBase.
Experiencia en procesamiento de datos Batch y Streaming.
Inglés fluido",Educación mínima: Universidad / Carrera Profesional | 5 años de experiencia | Idiomas: Inglés,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-experiencia-en-ia-bilingue-en-bogota-dc-EF90507BD6D7058B61373E686DCF3405#lc=ListOffers-Score4-0,Universidad / Carrera Profesional,5.0,,Inglés,"Python, SQL, Spark / PySpark, Databricks, Azure, Google Cloud (GCP), Machine Learning General, Bases de Datos NoSQL",8,COP,Mercado Local (Colombia - COP),12000000.0,12.0,Senior (4-5 años),3.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CompuTrabajo,cientifico-de-datos,A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",A convenir / No especificado,No especificada,Hace  8  horas,"Mineros S.A. busca un(a) Científico(a) de Datos para hacer parte de nuestro equipo y contribuir al desarrollo de soluciones de analítica avanzada, Machine Learning e Inteligencia Artificial aplicadas a diferentes procesos estratégicos del negocio.
¿Cuál será tu reto?
Transformar los datos provenientes de nuestras operaciones industriales y del negocio, incluyendo producción, energía, logística, finanzas y ESG, en conocimiento estratégico y accionable mediante análisis estadístico avanzado, modelos predictivos y visualizaciones ejecutivas.
Serás un referente analítico para diseñar, entrenar y desplegar modelos de Machine Learning e Inteligencia Artificial sobre Databricks, contribuyendo a la toma de decisiones y a la automatización de procesos a escala internacional.
Funciones principales
Realizar análisis exploratorio y predictivo aplicando métodos estadísticos y analítica avanzada sobre datos operacionales y de negocio para identificar patrones, tendencias y oportunidades de mejora con impacto medible.
Diseñar, entrenar y llevar a producción modelos de Machine Learning para casos de uso como mantenimiento predictivo, optimización de la cadena de abastecimiento, consolidación financiera y automatización de reportería ESG.
Gestionar el ciclo de vida completo de los modelos mediante MLflow, incluyendo registro, versionamiento, monitoreo de drift y reentrenamiento.
Trabajar de manera articulada con el Ingeniero de Datos en aspectos relacionados con la calidad y consistencia semántica de la información.
Requisitos
Formación académica:
Profesional en Ingeniería de Sistemas, Matemáticas, Estadística, Informática, Ingeniería Industrial o carreras afines.
Especialización o Maestría en Ciencia de Datos, Machine Learning, Inteligencia Artificial o Estadística Aplicada.
Experiencia:
Entre 3 y 5 años de experiencia laboral.
Mínimo 2 a 3 años de experiencia específica en roles de Data Science, Ciencia de Datos o Analítica Avanzada.
Conocimientos técnicos:
Manejo avanzado de Python, especialmente Scikit-learn, Pandas y NumPy.
Manejo de SQL.
Experiencia con Databricks, incluyendo MLflow, Feature Store, Databricks SQL, Genie y Notebooks.
Conocimiento en desarrollo de modelos supervisados y no supervisados, incluyendo regresión, clasificación, clustering y series de tiempo.
Experiencia en creación de dashboards en Power BI o Tableau conectados a capas de datos centralizadas.
Conocimientos deseables:
AWS, Azure o GCP.
Desarrollo y despliegue de APIs.
Analítica geoespacial (GeoAI).
Visión artificial.
NLP o procesamiento de lenguaje natural.
Condiciones de la oferta
Contrato: Indefinido, directamente con Mineros S.A.
Salario: A convenir.
Beneficios: Paquete de beneficios corporativos.
Jornada: Lunes a viernes.
Entorno de trabajo: Participación en proyectos de alto impacto dentro de un ecosistema tecnológico basado en Cloud, Databricks, Lakehouse e Inteligencia Artificial Generativa.
Si estás preparado(a) para transformar datos en decisiones y contribuir al futuro de la minería a través de la tecnología, te invitamos a postularte y hacer parte de Mineros S.A.",Educación mínima: Postgrado / Especialización | 3 años de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-1,Postgrado / Especialización,3.0,,No especificado,"Python, SQL, Power BI, Tableau, Databricks, AWS, Azure, Google Cloud (GCP), Machine Learning General, NLP / LLMs, Scikit-Learn, Estadística / Modelamiento, MLOps",13,CAD,Mercado Internacional (Remoto - USD),,,Semi-Senior (2-3 años),4.0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
CompuTrabajo,cientifico-de-datos,CB72055DC19256A061373E686DCF3405,Científico de datos / Data Scientist // Inglés B2+ o C1,BRM S.A.S,"4,3","$ 6.500.000,00 (Mensual)",Remoto,Ayer,"¿Te apasiona transformar datos complejos en soluciones inteligentes? ¿Eres experto en diseñar e implementar modelos de Machine Learning y Deep Learning que generen un impacto real en el negocio?

Si tienes una sólida base matemática, visión estratégica para la gestión de proyectos y dominas el entorno de la inteligencia artificial, ¡esta oportunidad es para ti!

Lo que buscamos:

Formación: Profesional en Ingeniería, Estadística, Matemáticas o carreras afines.
Experiencia: Mínimo 2 años liderando proyectos de analítica avanzada o Ciencia de Datos.
Idiomas: Dominio de inglés fluido (B2+ o C1).
Habilidades técnicas requeridas:
Dominio experto de SQL, R y Python.
Experiencia práctica con frameworks de IA: TensorFlow, PyTorch y Hugging Face.
Manejo de plataformas en la nube (GCP / GCS) y herramientas de visualización (Power BI, Excel avanzado).
Sólidos conocimientos en algoritmos, modelos de aprendizaje automático y estadística.

Lo que te ofrecemos:

Compensación: Salario base de $5.500.000 a $6.000.000 (según nivel de inglés) + variable por cumplimiento de $500.000 + todas las prestaciones de ley.
Modalidad: 100% Home Office (puedes aplicar desde cualquier ciudad de Colombia).
Jornada: Horario de oficina de lunes a viernes (fines de semana libres).
Contrato: Indefinido directamente con la compañía.
Entorno: Un ambiente de alto impacto donde liderarás la innovación tecnológica, conectarás con presentaciones de alto nivel y potenciarás tu perfil profesional.

¿Estás listo/a para llevar la ciencia de datos al siguiente nivel? ¡Postúlate ahora y demuestra el poder de tus algoritmos!",Educación mínima: Universidad / Carrera Profesional | 2 años de experiencia | Edad: A partir de 18 años,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-data-scientist-ingles-b2-o-c1-dominio-de-sql-r-y-python-en-bogota-dc-CB72055DC19256A061373E686DCF3405#lc=ListOffers-Score4-2,Universidad / Carrera Profesional,2.0,,No especificado,"Python, R, SQL, Power BI, Excel Avanzado, Google Cloud (GCP), Machine Learning General, Deep Learning, TensorFlow / Keras, PyTorch, Estadística / Modelamiento",11,COP,Mercado Local (Colombia - COP),6500000.0,6.5,Semi-Senior (2-3 años),3.0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
CompuTrabajo,cientifico-de-datos,8F5F2E33B1F632A161373E686DCF3405,Científico de Datos Junior,NEXA BPO,"4,4","$ 3.250.000,00 (Mensual)",Presencial y remoto,Ayer,"Te estamos buscando : Si eres profesional o estudiante desde 8 semestre en adelante de estadística, Economía, o ingeniería de sistemas y cuentas con 6 meses de experiencia ( practicas  o proyectos practicos )  en Procesamiento de Lenguaje Natural (NLP), Inteligencia Artificial Generativa y LLMs para apoyar la construcción y validación de modelos de clasificación de conversaciones, Se requiere experiencia en el uso de LLMs en AWS, técnicas de Prompt Engineering (Zero-Shot, One-Shot y Few-Shot), Fine-Tuning de modelos y diseño de soluciones RAG (Retrieval-Augmented Generation). Se valoran conocimientos en clasificación de texto, análisis de conversaciones y evaluación de modelos de IA aplicados a casos de negocio. Sers responsable de analizar interacciones de clientes, identificar patrones de lenguaje y desarrollar soluciones que permitan categorizar automáticamente los diferentes motivos de contacto.
te ofrecemos: contrato a termino indefinido
salario: $ 3.250.000
modalidad : Hibrido
Horarios : lunes a viernes de 8 am a 05:30 pm
sede al norte de la ciudad",Educación mínima: Universidad / Carrera Profesional | Menos de 1 año de experiencia | Personas con discapacidad: Sí,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-junior-en-bogota-dc-8F5F2E33B1F632A161373E686DCF3405#lc=ListOffers-Score4-3,Universidad / Carrera Profesional,1.0,,No especificado,"AWS, NLP / LLMs, Estadística / Modelamiento",3,COP,Mercado Local (Colombia - COP),3250000.0,3.25,Junior / Trainee (0-1 años),3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CompuTrabajo,cientifico-de-datos,936A18582B9CC24E61373E686DCF3405,Data Scientist,LIQUITTY COLOMBIA - CIBERGESTION COLOMBIA.,"4,3","$ 4.700.000,00 (Mensual)",No especificada,Hace  4  días,"Data Scientist & Portfolio Valuation Specialist 
Salario: $4.700.000 | Contrato indefinido | Lunes a viernes
Buscamos Data Scientist & Portfolio Valuation Specialist para desarrollar y validar modelos de valoración y proyección de recaudo de carteras castigadas (NPL), apoyando decisiones de compra de cartera, pricing, estructuración de deals y valoración de portafolios.
 Principales responsabilidades
Diseñar, calibrar y validar modelos de proyección de recaudo y recovery rates.
Desarrollar modelos de Machine Learning y simulación de escenarios.
Analizar grandes volúmenes de datos de asignaciones, gestiones y pagos.
Construir y automatizar pipelines de datos y procesos ETL.
Realizar backtesting, validación cruzada, análisis de sensibilidad y escenarios.
Calcular VPN, TIR, ROI, duración y múltiplos de inversión.
Generar valoraciones reproducibles, auditables y sustentadas en evidencia histórica.
Elaborar reportes técnicos y ejecutivos para dirección, comités, auditoría e inversionistas.
 Perfil requerido
Profesional en Economía, Ingeniería, Matemáticas, Estadística o carreras afines, con mínimo 3 años de experiencia en desarrollo, calibración y validación de modelos analíticos aplicados a riesgo de crédito, cobranza o valoración financiera.
Conocimientos indispensables:
Python: pandas, NumPy, SciPy
SQL / SQL Server
Machine Learning: scikit-learn, XGBoost, LightGBM o CatBoost
Estadística y validación de modelos
VPN, TIR, ROI, duración y flujos de caja
Markov y Monte Carlo
ETL y calidad/gobierno del dato
Excel / Office
 Deseable: experiencia en carteras castigadas/NPL, GPU, IA generativa aplicada al desarrollo y GitHub.
 Buscamos
Una persona analítica, técnica y orientada a resultados, capaz de convertir datos en modelos y modelos en decisiones de inversión.
Si quieres combinar Data Science, Machine Learning y Finanzas para generar impacto real en decisiones de inversión, ¡esta oportunidad es para ti!
Postúlate y haz parte de nuestro equipo.",Educación mínima: Universidad / Carrera Profesional | años de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-data-scientist-en-bogota-dc-936A18582B9CC24E61373E686DCF3405#lc=ListOffers-Score4-4,Universidad / Carrera Profesional,1.0,,No especificado,"Python, SQL, Excel Avanzado, Machine Learning General, Scikit-Learn, Estadística / Modelamiento, ETL / Pipelines de Datos, Git / Control de Versiones",8,COP,Mercado Local (Colombia - COP),4700000.0,4.7,Junior / Trainee (0-1 años),3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
CompuTrabajo,cientifico-de-datos,8DCF886B9003345161373E686DCF3405,Cientifico de Datos,Adecco Colombia S.A.,"4,6",A convenir / No especificado,No especificada,Hace  4  días,"Bogotá D.C. | Presencial
La Universidad Central se encuentra en búsqueda de un(a) Científico(a) de Datos para fortalecer su área de Planeación y Desarrollo, participando en la construcción y consolidación de capacidades analíticas que apoyen la toma de decisiones institucionales. 
Responsabilidades
Diseñar y desarrollar modelos analíticos avanzados.
Aplicar técnicas estadísticas, machine learning y analítica de datos.
Construir modelos descriptivos y predictivos.
Validar resultados y optimizar continuamente los modelos desarrollados.
Garantizar la calidad, integridad y consistencia de la información.
Documentar variables, fuentes, reglas de negocio y diccionarios de datos.
Desarrollar visualizaciones e informes de inteligencia de negocios.
Apoyar la gestión de indicadores y sistemas de información institucional.
Trabajar de manera articulada con equipos de tecnología y gestión de datos.
Participar en la consolidación del área de analítica institucional. 
Requisitos
 Profesional en Ingeniería de Sistemas, Ciencia de Datos, Estadística o carreras afines.
 Posgrado, profundización o formación complementaria en analítica o ciencia de datos.
 Mínimo 2 años de experiencia posterior al grado en:
Ciencia de datos.
Analítica avanzada.
Estadística.
Inteligencia de negocios.
 Conocimientos indispensables en:
Python.
Power BI.
Excel avanzado.
Estadística aplicada.
Aprendizaje automático (Machine Learning).
Calidad y validación de datos.
Modelamiento analítico
Condiciones
 Lugar de trabajo: Bogotá D.C. (100% presencial, sede Centro).
 Salario: $3.701.622 mensuales.
 Contrato: Término fijo (Hasta 11 de Diciembre, con posibilidad de renovación de acuerdo a desempeño en Enero).
 Horario:
Lunes a jueves: 8:00 a.m. a 6:00 p.m.
Viernes: 8:00 a.m. a 2:00 p.m. 
Beneficios
Días compensatorios remunerados.
Semana de receso en octubre.
Beneficios durante Semana Santa.
Día libre de cumpleaños.
Vacaciones colectivas.
Descuentos en programas académicos y educación continua después de un año de vinculación.
Beneficios para familiares de primer grado de consanguinidad.",Educación mínima: Universidad / Carrera Profesional | 2 años de experiencia | Conocimientos: Python,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-bogota-en-bogota-dc-8DCF886B9003345161373E686DCF3405#lc=ListOffers-Score4-5,Universidad / Carrera Profesional,2.0,Python,No especificado,"Python, Power BI, Excel Avanzado, Machine Learning General, Estadística / Modelamiento",5,CAD,Mercado Internacional (Remoto - USD),,,Semi-Senior (2-3 años),3.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CompuTrabajo,cientifico-de-datos,CC32FBA2FBD8899C61373E686DCF3405,Científico de Datos,Confidencial / No especificada,"Bogotá, D.C., Bogotá, D.C.","$ 3.250.600,00 (Mensual)",Presencial y remoto,Hace  4  días,"Nos encontramos en búsqueda de nuestro próximo Científicos de Datos, debe ser Profesional o estudiante de mínimo octavo semestre en estadística, ingeniería, matemáticas, ciencia de la computación o carreras afines, con mínimo 6 meses de experiencia en Procesamiento de Lenguaje Natural (NLP), Inteligencia Artificial Generativa y LLMs para apoyar la construcción y validación de modelos de clasificación de conversaciones. Será responsable de analizar interacciones de clientes, identificar patrones de lenguaje y desarrollar soluciones que permitan categorizar automáticamente los diferentes motivos de contacto.
Se requiere experiencia en el uso de LLMs en AWS, técnicas de Prompt Engineering (Zero-Shot, One-Shot y Few-Shot), Fine-Tuning de modelos y diseño de soluciones RAG (Retrieval-Augmented Generation). Se valoran conocimientos en clasificación de texto, análisis de conversaciones y evaluación de modelos de IA aplicados a casos de negocio.
•	Conocimientos Técnicas: Dominio de PowerBI, experiencia con herramientas de visualización en la nube y conocimientos en diseño de tableros y reportes interactivos.
Tipo de contrato: Indefinido
Horario: Lunes a Viernes horario de oficina (44h semanales)
Salario: $	3.250.600 con las respectivas prestaciones de ley
Modalidad de trabajo: Híbrido - Sede Toberín",Educación mínima: Universidad / Carrera Profesional | Menos de 1 año de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-conocimiento-en-aws-en-bogota-dc-CC32FBA2FBD8899C61373E686DCF3405#lc=ListOffers-Score4-6,Universidad / Carrera Profesional,1.0,,No especificado,"Power BI, AWS, NLP / LLMs, Estadística / Modelamiento",4,COP,Mercado Local (Colombia - COP),3250600.0,3.2506,Junior / Trainee (0-1 años),3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CompuTrabajo,cientifico-de-datos,A07C908FD7DDE2D261373E686DCF3405,Científico de datos  Python y R,As Talento SAS,"Bogotá, D.C., Bogotá, D.C.",A convenir / No especificado,Remoto,Hace  4  días,"Buscamos un(a) Científico(a) de Datos Senior con experiencia en analítica de crédito y riesgo financiero para desarrollar e implementar modelos de Machine Learning en AWS.
Requisitos:
Profesional en Matemáticas, Estadística, Economía, Finanzas, Ingeniería, Ciencia de Datos o afines.
Inglés avanzado.
4 a 7 años de experiencia en modelado financiero, riesgo de crédito o lending.
Dominio de Python, Scikit-Learn, XGBoost y despliegue de modelos en AWS (SageMaker, Lambda, S3, Bedrock).
Experiencia en scorecards, PD, LGD, EAD, WOE/IV, SHAP, LIME y validación de modelos.
Experiencia en bancos, entidades financieras o fintech de crédito.
Manejo de datos de Experian, Equifax o TransUnion.
Deseable: MLOps, DataRobot, IFRS 9, FCRA/ECOA y estudios de posgrado.
Horario: Disponibilidad para trabajar con equipos de Estados Unidos (zonas Central y Este).
Modalidad: Remoto","Educación mínima: Postgrado / Maestría | 3 años de experiencia | Idiomas: Inglés | Conocimientos: Machine learning, Python",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-python-y-r-python-y-r-en-bogota-dc-A07C908FD7DDE2D261373E686DCF3405#lc=ListOffers-Score4-7,Postgrado / Maestría,3.0,"Machine Learning, Python",Inglés,"Python, R, AWS, Machine Learning General, Scikit-Learn, Estadística / Modelamiento, MLOps",7,CAD,Mercado Internacional (Remoto - USD),,,Semi-Senior (2-3 años),5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
CompuTrabajo,cientifico-de-datos,E047BA4766E9EF4061373E686DCF3405,Científico de Datos,Confidencial / No especificada,"Medellín, Antioquia","$ 6.500.000,00 (Mensual)",No especificada,Hace  5  días,"Somos una empresa líder en el sector salud y hoy nos encontramos en la búsqueda de  Científico de Datos con visión estratégica para liderar la analítica avanzada en nuestra organización, generando valor a partir de los datos para optimizar la gestión del medicamento, mejorar la eficiencia operativa y contribuir a la sostenibilidad del sistema de salud.
Definir y liderar la estrategia de analítica avanzada y ciencia de datos, alineada con los objetivos del negocio y del sistema de salud.
Gestionar y garantizar la calidad, almacenamiento y gobierno de los datos, asegurando el cumplimiento normativo y la seguridad de la información.
Liderar el diseño, desarrollo e implementación de modelos analíticos, predictivos y prescriptivos para la toma de decisiones.
Dirigir la generación de reportes, dashboards e insights estratégicos para la alta dirección y stakeholders.
Coordinar y desarrollar equipos multidisciplinarios (científicos de datos, analistas, ingenieros de datos y TI), promoviendo una cultura data-driven.
Desarrollar analítica aplicada al sector salud, incluyendo modelos de demanda, adherencia, gestión del riesgo y uso de medicamentos.
Optimizar procesos operativos y logísticos mediante analítica, incluyendo inventarios, distribución, trazabilidad y reducción de quiebres o sobrestock.
Identificar e implementar oportunidades de innovación mediante el uso de nuevas tecnologías analíticas e inteligencia artificial.
Entre otras funciones del cargo. 
Formación académica:
Profesional en Ingeniería, Estadística, Matemáticas, Economía o afines.
Posgrado deseable en Ciencia de Datos, Analítica o IA.
Experiencia:
Mínimo 5 años en ciencia de datos o analítica avanzada.
Deseable experiencia en sector salud o farmacéutico.
Conocimientos técnicos:
Python, R, SQL
Machine Learning
Big Data (Spark, Hadoop)
Herramientas de visualización (Power BI, Tableau)
Gobierno y calidad de datos
Que te ofrecemos: 
Contrato directo con la empresa. 
Horarios de L a V.  
Beneficios del programa de bienestar laboral.","Educación mínima: Postgrado / Especialización | 3 años de experiencia | Conocimientos: Machine learning, Organización, Python",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-sector-salud-en-medellin-E047BA4766E9EF4061373E686DCF3405#lc=ListOffers-Score4-8,Postgrado / Especialización,3.0,"Machine Learning, Organización, Python",No especificado,"Python, R, SQL, Power BI, Tableau, Spark / PySpark, Hadoop / Hive, Machine Learning General, Estadística / Modelamiento",9,COP,Mercado Local (Colombia - COP),6500000.0,6.5,Semi-Senior (2-3 años),4.0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
CompuTrabajo,cientifico-de-datos,3806322D2064E11A61373E686DCF3405,Científico de Datos Senior,Confidencial / No especificada,"Medellín, Antioquia","$ 5.000.000,00 (Mensual)",No especificada,Hace  5  días,"Importante empresa del sector de cobranza se encuentra en la búsqueda de un Científico de Datos para su equipo de trabajo en Medellín.
Buscamos profesional en Ingeniería de Sistemas, Economía, Estadística o carreras afines, con mínimo 3 años de experiencia en ciencia de datos, analítica avanzada, desarrollo de modelos predictivos y minería de datos. Es indispensable contar con conocimientos en Excel, bases de datos, Python, RStudio, KNIME y modelos de aprendizaje supervisado y no supervisado.
Funciones principales:
-Recopilar, depurar y analizar datos provenientes de diferentes fuentes para generar información confiable para la toma de decisiones.
-Desarrollar, optimizar e implementar modelos predictivos orientados a mejorar la contactabilidad, la recuperación de cartera y el cumplimiento de indicadores.
-Identificar patrones, tendencias y oportunidades de mejora mediante técnicas de minería de datos y análisis estadístico.
-Desarrollar segmentaciones de clientes y modelos analíticos que optimicen los procesos de cobranza y la eficiencia operativa.
-Trabajar de manera articulada con las áreas de Planeación, Controller y Operaciones para generar soluciones basadas en datos.
Condiciones:
-Salario: $5,000.000 + prestaciones de ley.
-Horario: Lunes a viernes de 8:00 a.m. a 5:00 p.m. y sábados de 8:00 a.m. a 12:00 p.m.
-Contrato: Término indefinido.
-Modalidad: Presencial.",Educación mínima: Universidad / Carrera Profesional | 4 años de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-senior-para-medellin-en-medellin-3806322D2064E11A61373E686DCF3405#lc=ListOffers-Score4-9,Universidad / Carrera Profesional,4.0,,No especificado,"Python, Excel Avanzado, Estadística / Modelamiento",3,COP,Mercado Local (Colombia - COP),5000000.0,5.0,Senior (4-5 años),3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
