Codigo,Nombre Oferta,Empresa,Ubicacion,Modalidad,Seniority,Nivel_Educacion,Anios_Experiencia,Salario_COP,Salario_Millones,Habilidad,URL
035B7AFE324A728461373E686DCF3405,Junior Data Scientist,Appril Labs S.A.S.,"Bogotá, D.C., Bogotá, D.C.",Presencial y remoto,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,,,"Python, SQL, Power BI, Spark / PySpark, Databricks, Estadística / Modelamiento, ETL / Pipelines de Datos",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-junior-data-scientist-analitica-de-datos-databricks-sql-python-en-bogota-dc-035B7AFE324A728461373E686DCF3405#lc=ListOffers-Score4-0
1F6FE299A0A3885261373E686DCF3405,Científico(a) de Datos Senior Bogotá,Gi Group Colombia,"Bogotá, D.C., Bogotá, D.C.",Presencial y remoto,Semi-Senior (2-3 años),Universidad / Carrera Profesional,3,7000000.0,7.0,"Python, SQL, Spark / PySpark, Databricks, Machine Learning General, Scikit-Learn, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientificoa-de-datos-senior-bogota-en-bogota-dc-1F6FE299A0A3885261373E686DCF3405#lc=ListOffers-Score4-1
E4CAF8043677CCBE61373E686DCF3405,Científico de Datos Junior,RapiCredit,"Bogotá, D.C., Bogotá, D.C.",Presencial y remoto,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,,,"Python, R, SQL, Power BI, Excel Avanzado, Estadística / Modelamiento, ETL / Pipelines de Datos",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-junior-en-bogota-dc-E4CAF8043677CCBE61373E686DCF3405#lc=ListOffers-Score4-2
67093B244104B55961373E686DCF3405,Científico de Datos / Desarrollador Full Stack,Gestión Profesional S.A.S,"4,2",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera técnica,1,3600000.0,3.6,"Python, SQL, Machine Learning General, Git / Control de Versiones",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-desarrollador-full-stack-bogota-urgente-en-bogota-dc-67093B244104B55961373E686DCF3405#lc=ListOffers-Score4-3
CB72055DC19256A061373E686DCF3405,Científico de datos / Data Scientist // Inglés B2+ o C1,BRM S.A.S,"4,3",Remoto,Semi-Senior (2-3 años),Universidad / Carrera Profesional,2,6500000.0,6.5,"Python, R, SQL, Power BI, Excel Avanzado, Google Cloud (GCP), Machine Learning General, Deep Learning, TensorFlow / Keras, PyTorch, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-data-scientist-ingles-b2-o-c1-dominio-de-sql-r-y-python-en-bogota-dc-CB72055DC19256A061373E686DCF3405#lc=ListOffers-Score4-4
A90922700A58F09E61373E686DCF3405,Científico de Datos / Desarrollador Full Stack,Gestión Profesional S.A.S,"4,2",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera técnica,1,3600000.0,3.6,"Python, SQL, Machine Learning General, Git / Control de Versiones",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-desarrollador-full-stack-bogota-urgente-en-bogota-dc-A90922700A58F09E61373E686DCF3405#lc=ListOffers-Score4-5
A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",No especificada,Semi-Senior (2-3 años),Postgrado / Especialización,3,,,"Python, SQL, Power BI, Tableau, Databricks, AWS, Azure, Google Cloud (GCP), Machine Learning General, NLP / LLMs, Scikit-Learn, Estadística / Modelamiento, MLOps",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-6
DB82353070A3B09A61373E686DCF3405,Cientifico de datos Junior,TERANOVA LABS SAS,"Bogotá, D.C., Bogotá, D.C.",Presencial y remoto,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,,,"Python, R",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-junior-en-bogota-dc-DB82353070A3B09A61373E686DCF3405#lc=ListOffers-Score4-7
9A0DDB39E9CBDFD861373E686DCF3405,Científico de Datos,Confidencial / No especificada,"Bogotá, D.C., Bogotá, D.C.",No especificada,Semi-Senior (2-3 años),Universidad / Carrera Profesional,3,5000000.0,5.0,"Python, R, SQL, Machine Learning General, NLP / LLMs, Estadística / Modelamiento",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-bogota-dc-9A0DDB39E9CBDFD861373E686DCF3405#lc=ListOffers-Score4-8
9E45019E88C18D4461373E686DCF3405,Científico de Datos Machine Learning,LIQUITTY COLOMBIA - CIBERGESTION COLOMBIA.,"4,3",No especificada,Junior / Trainee (0-1 años),Universidad / Carrera Profesional,1,,,"Python, R, SQL, Spark / PySpark, Machine Learning General, Estadística / Modelamiento, Bases de Datos NoSQL",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-machine-learning-medellin-en-medellin-9E45019E88C18D4461373E686DCF3405#lc=ListOffers-Score4-9
