Codigo,Nombre Oferta,Empresa,Ubicacion,Salario,Modalidad,Fecha Publicacion,Descripcion,Requisitos,URL,Nivel_Educacion,Anios_Experiencia,Conocimientos_Explicitos,Idiomas,Habilidades_Tecnicas,Total_Habilidades_Detectadas,Salario_COP,Salario_Millones,Seniority,Nivel_Educativo_Ordinal,Skill_Python,Skill_R,Skill_SQL,Skill_Scala,Skill_Java / C++,Skill_Power BI,Skill_Tableau,Skill_Excel Avanzado,Skill_Qlik,Skill_Looker,Skill_Spark / PySpark,Skill_Databricks,Skill_Hadoop / Hive,Skill_Kafka,Skill_AWS,Skill_Azure,Skill_Google Cloud (GCP),Skill_Machine Learning General,Skill_Deep Learning,Skill_NLP / LLMs,Skill_Computer Vision,Skill_Scikit-Learn,Skill_TensorFlow / Keras,Skill_PyTorch,Skill_Estadística / Modelamiento,Skill_ETL / Pipelines de Datos,Skill_Airflow,Skill_Docker / Kubernetes,Skill_Git / Control de Versiones,Skill_Bases de Datos NoSQL,Skill_MLOps
035B7AFE324A728461373E686DCF3405,Junior Data Scientist,Appril Labs S.A.S.,"Bogotá, D.C., Bogotá, D.C.",A convenir / No especificado,Presencial y remoto,Hace  7  horas,"Perfil profesional
Profesional en Ingeniería de Software, Informática, Estadística o áreas afines, Ciencia de Datos, Economía, Matemáticas o áreas afines, con enfoque cuantitativo y proactivo. Cuenta con manejo de Python a nivel intermedio y SQL sólido, así como conocimiento en Spark/PySpark para computación distribuida, siendo deseable experiencia en Databricks o entornos Lakehouse.
Capacidad para desarrollar, optimizar y mantener modelos analíticos (Forecasting, Clustering, entre otros), validando e interpretando métricas de desempeño y traduciendo resultados estadísticos en insights de negocio. Se apoya en herramientas de IA generativa (Copilot, ChatGPT, Claude) para acelerar el desarrollo y mejorar el rendimiento de los procesos, y orienta su trabajo a conectar los modelos y algoritmos con el impacto real en los KPIs de la compañía (ventas, posventa, entre otros).
Funciones principales
Desarrollar y mantener modelos analíticos (Forecasting, Clustering, entre otros) alineados a las necesidades del negocio.
Construir y optimizar pipelines de datos en Python y PySpark, garantizando escalabilidad y calidad de la información.
Realizar limpieza, transformación y validación de grandes volúmenes de datos.
Utilizar herramientas de IA generativa (Copilot, ChatGPT, Claude) para acelerar el desarrollo y mejorar el rendimiento de los procesos.
Ejecutar y optimizar procesos analíticos dentro del entorno Databricks / Lakehouse.
Interpretar métricas estadísticas y traducirlas en insights accionables para el negocio.
Automatizar la generación de tableros y reportes en Power BI (deseable).
Analizar el impacto de los modelos y algoritmos sobre los KPIs clave de la compañía (ventas, posventa, etc.).
Validar el desempeño de los modelos mediante métricas estadísticas adecuadas.
Documentar procesos, modelos y resultados para asegurar trazabilidad y continuidad del conocimiento.
Requisitos
Formación académica:
Profesional en Ingeniería de Software, Informática, Estadística, Ciencia de Datos, Economía, Matemáticas o áreas afines con enfoque cuantitativo.
Tarjeta profesional vigente cuando la profesión lo requiera.
Competencias técnicas:
Python (nivel intermedio) — manipulación de datos, scripting y desarrollo de modelos.
SQL sólido — consultas complejas, optimización y modelado de datos.
Spark / PySpark para procesamiento y computación distribuida.
Deseable: experiencia en Databricks o entornos Lakehouse.
Deseable: Power BI para automatización de tableros y reportes.
Familiaridad con herramientas de IA generativa (Copilot, ChatGPT, Claude) aplicadas al desarrollo.
Competencias blandas:
Proactividad y autonomía para gestionar entregables analíticos de punta a punta.
Pensamiento analítico orientado a traducir resultados estadísticos en decisiones de negocio.
Comunicación clara con audiencias no técnicas (ventas, posventa, dirección).
Rigurosidad y atención al detalle en la validación de modelos y datos.
Capacidad de documentación y trabajo colaborativo.","Educación mínima: Universidad / Carrera Profesional | 2 años de experiencia | Conocimientos: Ciencia de los datos, Python, Spark, Sql",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-junior-data-scientist-analitica-de-datos-databricks-sql-python-en-bogota-dc-035B7AFE324A728461373E686DCF3405#lc=ListOffers-Score4-0,Universidad / Carrera Profesional,2,"Ciencia De Los Datos, Python, Spark, Sql",No especificado,"Python, SQL, Power BI, Spark / PySpark, Databricks, Estadística / Modelamiento, ETL / Pipelines de Datos",7,,,Semi-Senior (2-3 años),3.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1F6FE299A0A3885261373E686DCF3405,Científico(a) de Datos Senior Bogotá,Gi Group Colombia,"Bogotá, D.C., Bogotá, D.C.","$ 7.000.000,00 (Mensual)",Presencial y remoto,Hace  21  horas,"Título de la vacante: Científico(a) de Datos Senior (Bilingüe)
Ciudad: Bogotá D.C.
Modalidad: Híbrido (2 días en oficina)
Proyecto: 4 meses interacción con equipo en India 
Contrato: Obra o labor por el proyecto con todos los beneficios de ley 
Salario: $7.000.000 a $9.000.000 COP (según experiencia)
Estudio: Profesional en ingeniería de sistemas
Idioma: inglés bilingüe
Descripción del cargo
Buscamos Científico(a) de Datos Senior bilingüe para diseñar, desarrollar y llevar a producción modelos de propensión (churn, recompra, reactivación, upsell) con alcance regional (Colombia, México y Chile), integrados en MoEngage y alineados a métricas de negocio.
Funciones
Diseñar y desarrollar modelos de propensión usando Machine Learning.
Realizar análisis exploratorio y feature engineering para identificar variables predictivas.
Calibrar/adaptar modelos para Colombia, México y Chile según particularidades de mercado.
Validar desempeño con métricas estadísticas y de negocio.
Documentar metodología, variables y criterios de evaluación.
Construir la puesta en productivo: scoring, refresco periódico e integración para operación en MoEngage.
Trabajar con BI, Data Engineering y CLM para asegurar disponibilidad de datos e implementación.
Transferir conocimiento al equipo interno para mantenimiento y evolución de los modelos.
Requisitos
Experiencia: más de 5 años desarrollando modelos predictivos en ambientes productivos.
Experiencia en ML aplicado a Customer Analytics / CRM / Customer Lifecycle Management.
Experiencia en modelos de propensión (churn, recompra, reactivación, upsell).
Explainability / reason codes (SHAP, LIME u otros).
Python: Pandas, Scikit-Learn, XGBoost, LightGBM.
SQL avanzado.
Databricks y/o PySpark.
Estadística aplicada y evaluación de modelos.
Inglés bilingüe.
Deseable
Integración con plataformas de marketing automation / CDP (MoEngage, Braze, Salesforce Marketing Cloud u otras).
Experiencia en telecomunicaciones.
Experiencia en operaciones multi-país LATAM.
Postulación
Si cumples con el perfil y te interesa participar en un proyecto regional de alto impacto, postúlate y mantén tu hoja de vida actualizada.",Educación mínima: Universidad / Carrera Profesional | 3 años de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientificoa-de-datos-senior-bogota-en-bogota-dc-1F6FE299A0A3885261373E686DCF3405#lc=ListOffers-Score4-1,Universidad / Carrera Profesional,3,,No especificado,"Python, SQL, Spark / PySpark, Databricks, Machine Learning General, Scikit-Learn, Estadística / Modelamiento",7,7000000.0,7.0,Semi-Senior (2-3 años),3.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
E4CAF8043677CCBE61373E686DCF3405,Científico de Datos Junior,RapiCredit,"Bogotá, D.C., Bogotá, D.C.",A convenir / No especificado,Presencial y remoto,Ayer,"En RapiCredit tenemos nuestro propósito claro: Acompañar a las personas con soluciones financieras que les permita mejorar sus realidades, junto a los mejores talentos.
Si estás listo para unirte a un equipo, donde transformamos desafíos en logros extraordinarios en el mundo de las Fintech, ¡tenemos esta vacante para ti!
Como Científico de Datos Junior serás responsable de apoyar la preparación, análisis y documentación de datos, así como la implementación básica de modelos y herramientas analíticas enfocadas en el riesgo de crédito. Además, contribuirás a la mejora continua del área ejecutando tareas técnicas bajo supervisión, lo que te permitirá consolidar tu aprendizaje y desarrollo profesional dentro del equipo.
Las principales responsabilidades asociadas al rol son:
Desarrollar análisis exploratorios y reportes descriptivos.
Implementar scripts y notebooks de soporte para modelos en desarrollo.
Extraer, limpiar y organizar bases de datos para proyectos de riesgo y analítica.
Documentar procesos, resultados y códigos bajo lineamientos definidos.
Apoyar iniciativas de automatización básica (dashboards, consultas SQL, ETL simples).
¿Qué requisitos debes cumplir?
Profesional en Estadística, Matemáticas o ciencias a fines
Recién egresado o con experiencia inicial
Conocimiento en modelado estadístico básico
Manejo de Power BI, SQL, Excel, R, Python básico

¿Cómo trabajamos?
Tenemos un modelo híbrido, nos vemos en la oficina 3 días y 2 días desde casa.
Trabajamos de lunes a viernes 8:00 am - 6:00 pm.
Nuestras oficinas están ubicadas en Usaquén con fácil acceso a transporte público.
Contrato laboral a término indefinido.",Educación mínima: Universidad / Carrera Profesional | años de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-junior-en-bogota-dc-E4CAF8043677CCBE61373E686DCF3405#lc=ListOffers-Score4-2,Universidad / Carrera Profesional,1,,No especificado,"Python, R, SQL, Power BI, Excel Avanzado, Estadística / Modelamiento, ETL / Pipelines de Datos",7,,,Junior / Trainee (0-1 años),3.0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
67093B244104B55961373E686DCF3405,Científico de Datos / Desarrollador Full Stack,Gestión Profesional S.A.S,"4,2","$ 3.600.000,00 (Mensual)",No especificada,Ayer,"Vacante: Científico de Datos / Desarrollador Full Stack
Modalidad: Presencial
Experiencia: Mínimo 1 año
Salario: $3.800.000
En Renovar Financiera S.A.S. nos encontramos en la búsqueda de un Científico de Datos / Desarrollador Full Stack, con capacidad analítica, orientación a resultados y pasión por el desarrollo de soluciones tecnológicas.
Requisitos
Profesional o estudiante de últimos semestres en Ingeniería de Sistemas, Ingeniería de Software, Ciencia de Datos o carreras afines.
Mínimo 1 año de experiencia en desarrollo de software, análisis de datos o ciencia de datos.
Conocimientos
Manejo de bases de datos relacionales y no relacionales.
Python.
Desarrollo y consumo de APIs REST.
Desarrollo Backend (FastAPI, Flask o Django).
Desarrollo Frontend (HTML, CSS y JavaScript).
Consultas SQL.
Git para control de versiones.
Deseable conocimientos en Machine Learning e Inteligencia Artificial.
Competencias
Pensamiento analítico.
Proactividad.
Capacidad de aprendizaje.
Trabajo en equipo.
Orientación a resultados.
Resolución de problemas.
Salario: $3.600.000.",Educación mínima: Universidad / Carrera técnica | 1 año de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-desarrollador-full-stack-bogota-urgente-en-bogota-dc-67093B244104B55961373E686DCF3405#lc=ListOffers-Score4-3,Universidad / Carrera técnica,1,,No especificado,"Python, SQL, Machine Learning General, Git / Control de Versiones",4,3600000.0,3.6,Junior / Trainee (0-1 años),2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CB72055DC19256A061373E686DCF3405,Científico de datos / Data Scientist // Inglés B2+ o C1,BRM S.A.S,"4,3","$ 6.500.000,00 (Mensual)",Remoto,Ayer,"¿Te apasiona transformar datos complejos en soluciones inteligentes? ¿Eres experto en diseñar e implementar modelos de Machine Learning y Deep Learning que generen un impacto real en el negocio?

Si tienes una sólida base matemática, visión estratégica para la gestión de proyectos y dominas el entorno de la inteligencia artificial, ¡esta oportunidad es para ti!

Lo que buscamos:

Formación: Profesional en Ingeniería, Estadística, Matemáticas o carreras afines.
Experiencia: Mínimo 2 años liderando proyectos de analítica avanzada o Ciencia de Datos.
Idiomas: Dominio de inglés fluido (B2+ o C1).
Habilidades técnicas requeridas:
Dominio experto de SQL, R y Python.
Experiencia práctica con frameworks de IA: TensorFlow, PyTorch y Hugging Face.
Manejo de plataformas en la nube (GCP / GCS) y herramientas de visualización (Power BI, Excel avanzado).
Sólidos conocimientos en algoritmos, modelos de aprendizaje automático y estadística.

Lo que te ofrecemos:

Compensación: Salario base de $5.500.000 a $6.000.000 (según nivel de inglés) + variable por cumplimiento de $500.000 + todas las prestaciones de ley.
Modalidad: 100% Home Office (puedes aplicar desde cualquier ciudad de Colombia).
Jornada: Horario de oficina de lunes a viernes (fines de semana libres).
Contrato: Indefinido directamente con la compañía.
Entorno: Un ambiente de alto impacto donde liderarás la innovación tecnológica, conectarás con presentaciones de alto nivel y potenciarás tu perfil profesional.

¿Estás listo/a para llevar la ciencia de datos al siguiente nivel? ¡Postúlate ahora y demuestra el poder de tus algoritmos!",Educación mínima: Universidad / Carrera Profesional | 2 años de experiencia | Edad: A partir de 18 años,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-data-scientist-ingles-b2-o-c1-dominio-de-sql-r-y-python-en-bogota-dc-CB72055DC19256A061373E686DCF3405#lc=ListOffers-Score4-4,Universidad / Carrera Profesional,2,,No especificado,"Python, R, SQL, Power BI, Excel Avanzado, Google Cloud (GCP), Machine Learning General, Deep Learning, TensorFlow / Keras, PyTorch, Estadística / Modelamiento",11,6500000.0,6.5,Semi-Senior (2-3 años),3.0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
A90922700A58F09E61373E686DCF3405,Científico de Datos / Desarrollador Full Stack,Gestión Profesional S.A.S,"4,2","$ 3.600.000,00 (Mensual)",No especificada,Ayer,"Vacante: Científico de Datos / Desarrollador Full Stack
Modalidad: Presencial
Experiencia: Mínimo 1 año
Salario: $3.800.000
En Renovar Financiera S.A.S. nos encontramos en la búsqueda de un Científico de Datos / Desarrollador Full Stack, con capacidad analítica, orientación a resultados y pasión por el desarrollo de soluciones tecnológicas.
Requisitos
Profesional o estudiante de últimos semestres en Ingeniería de Sistemas, Ingeniería de Software, Ciencia de Datos o carreras afines.
Mínimo 1 año de experiencia en desarrollo de software, análisis de datos o ciencia de datos.
Conocimientos
Manejo de bases de datos relacionales y no relacionales.
Python.
Desarrollo y consumo de APIs REST.
Desarrollo Backend (FastAPI, Flask o Django).
Desarrollo Frontend (HTML, CSS y JavaScript).
Consultas SQL.
Git para control de versiones.
Deseable conocimientos en Machine Learning e Inteligencia Artificial.
Competencias
Pensamiento analítico.
Proactividad.
Capacidad de aprendizaje.
Trabajo en equipo.
Orientación a resultados.
Resolución de problemas.
Salario: $3.600.000.",Educación mínima: Universidad / Carrera técnica | 1 año de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-desarrollador-full-stack-bogota-urgente-en-bogota-dc-A90922700A58F09E61373E686DCF3405#lc=ListOffers-Score4-5,Universidad / Carrera técnica,1,,No especificado,"Python, SQL, Machine Learning General, Git / Control de Versiones",4,3600000.0,3.6,Junior / Trainee (0-1 años),2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A332D4F7487E8D7961373E686DCF3405,Científico de datos,MINEROS S.A,"Medellín, Antioquia",A convenir / No especificado,No especificada,Ayer,"Mineros S.A. busca un(a) Científico(a) de Datos para hacer parte de nuestro equipo y contribuir al desarrollo de soluciones de analítica avanzada, Machine Learning e Inteligencia Artificial aplicadas a diferentes procesos estratégicos del negocio.
¿Cuál será tu reto?
Transformar los datos provenientes de nuestras operaciones industriales y del negocio, incluyendo producción, energía, logística, finanzas y ESG, en conocimiento estratégico y accionable mediante análisis estadístico avanzado, modelos predictivos y visualizaciones ejecutivas.
Serás un referente analítico para diseñar, entrenar y desplegar modelos de Machine Learning e Inteligencia Artificial sobre Databricks, contribuyendo a la toma de decisiones y a la automatización de procesos a escala internacional.
Funciones principales
Realizar análisis exploratorio y predictivo aplicando métodos estadísticos y analítica avanzada sobre datos operacionales y de negocio para identificar patrones, tendencias y oportunidades de mejora con impacto medible.
Diseñar, entrenar y llevar a producción modelos de Machine Learning para casos de uso como mantenimiento predictivo, optimización de la cadena de abastecimiento, consolidación financiera y automatización de reportería ESG.
Gestionar el ciclo de vida completo de los modelos mediante MLflow, incluyendo registro, versionamiento, monitoreo de drift y reentrenamiento.
Trabajar de manera articulada con el Ingeniero de Datos en aspectos relacionados con la calidad y consistencia semántica de la información.
Requisitos
Formación académica:
Profesional en Ingeniería de Sistemas, Matemáticas, Estadística, Informática, Ingeniería Industrial o carreras afines.
Especialización o Maestría en Ciencia de Datos, Machine Learning, Inteligencia Artificial o Estadística Aplicada.
Experiencia:
Entre 3 y 5 años de experiencia laboral.
Mínimo 2 a 3 años de experiencia específica en roles de Data Science, Ciencia de Datos o Analítica Avanzada.
Conocimientos técnicos:
Manejo avanzado de Python, especialmente Scikit-learn, Pandas y NumPy.
Manejo de SQL.
Experiencia con Databricks, incluyendo MLflow, Feature Store, Databricks SQL, Genie y Notebooks.
Conocimiento en desarrollo de modelos supervisados y no supervisados, incluyendo regresión, clasificación, clustering y series de tiempo.
Experiencia en creación de dashboards en Power BI o Tableau conectados a capas de datos centralizadas.
Conocimientos deseables:
AWS, Azure o GCP.
Desarrollo y despliegue de APIs.
Analítica geoespacial (GeoAI).
Visión artificial.
NLP o procesamiento de lenguaje natural.
Condiciones de la oferta
Contrato: Indefinido, directamente con Mineros S.A.
Salario: A convenir.
Beneficios: Paquete de beneficios corporativos.
Jornada: Lunes a viernes.
Entorno de trabajo: Participación en proyectos de alto impacto dentro de un ecosistema tecnológico basado en Cloud, Databricks, Lakehouse e Inteligencia Artificial Generativa.
Si estás preparado(a) para transformar datos en decisiones y contribuir al futuro de la minería a través de la tecnología, te invitamos a postularte y hacer parte de Mineros S.A.",Educación mínima: Postgrado / Especialización | 3 años de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-medellin-A332D4F7487E8D7961373E686DCF3405#lc=ListOffers-Score4-6,Postgrado / Especialización,3,,No especificado,"Python, SQL, Power BI, Tableau, Databricks, AWS, Azure, Google Cloud (GCP), Machine Learning General, NLP / LLMs, Scikit-Learn, Estadística / Modelamiento, MLOps",13,,,Semi-Senior (2-3 años),4.0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
DB82353070A3B09A61373E686DCF3405,Cientifico de datos Junior,TERANOVA LABS SAS,"Bogotá, D.C., Bogotá, D.C.",A convenir / No especificado,Presencial y remoto,Hace  2  días,"Como Científico de Datos Junior en Tranqui Finanzas, colaborarás con el equipo de análisis de datos para transformar datos en información accionable. Tus responsabilidades diarias incluirán la ejecución de análisis estadísticos, creación de modelos de datos y desarrollo de visualizaciones para apoyar la toma de decisiones empresariales. Este es un puesto a tiempo completo con modalidad híbrida, ubicado en Bogotá, D.C., permitiendo la posibilidad de realizar parte del trabajo desde casa.
Requisitos
Conocimientos en Data Science y experiencia en el uso de herramientas y lenguajes relacionados con el análisis de datos.
Sólida comprensión de conceptos y métodos estadísticos aplicados a la ciencia de los datos.
Habilidades en análisis y visualización de datos mediante el uso de software y tecnologías pertinentes como Python, R o herramientas de BI.
Capacidad para analizar datos de manera efectiva y generar informes claros y comprensibles para usuarios técnicos y no técnicos.
Otros valores deseables incluyen habilidades para trabajar en equipo, gestión del tiempo y proactividad para resolver problemas complejos.
Indispensable contar con minimo 1 año de experiencia",Educación mínima: Universidad / Carrera Profesional | años de experiencia,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-junior-en-bogota-dc-DB82353070A3B09A61373E686DCF3405#lc=ListOffers-Score4-7,Universidad / Carrera Profesional,1,,No especificado,"Python, R",2,,,Junior / Trainee (0-1 años),3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9A0DDB39E9CBDFD861373E686DCF3405,Científico de Datos,Confidencial / No especificada,"Bogotá, D.C., Bogotá, D.C.","$ 5.000.000,00 (Mensual)",No especificada,Hace  2  días,"Importante empresa se encuentra en búsqueda de Científico de Datos para integrarse a nuestro equipo y participar en proyectos de análisis, modelamiento y aplicación de soluciones basadas en datos e inteligencia artificial.
Perfil
Buscamos profesionales en cualquier área de Ingeniería, con mínimo 3 años de experiencia en roles relacionados con ciencia de datos, análisis avanzado e inteligencia artificial.
Requisitos
- Profesional en cualquier área de Ingeniería.
- Mínimo 3 años de experiencia en Ciencia de Datos, análisis de datos o áreas relacionadas.
- Manejo avanzado de Python.
- Experiencia en R.
- Experiencia comprobable en modelos LLM (Large Language Models), requisito indispensable.
- Capacidad para desarrollar, analizar y presentar soluciones basadas en datos.
- Habilidades de comunicación y capacidad para participar en reuniones presenciales con gerentes y líderes de la organización.
- Capacidad para explicar conceptos técnicos de manera clara a públicos técnicos y no técnicos.
- Pensamiento analítico, orientación a resultados y capacidad para trabajar en equipo.
Condiciones
- Cargo: Científico de Datos
- Salario: Desde $5.000.000 en adelante, de acuerdo con experiencia y perfil.
Tipo de contrato: Indefinido
Horario: Lunes a Viernes
Si tienes experiencia en Python, R y modelos LLM, y te apasiona transformar datos en soluciones de alto impacto para el negocio, ¡esta oportunidad es para ti!","Educación mínima: Universidad / Carrera Profesional | 3 años de experiencia | Conocimientos: Análisis, Aplicaciones, Ciencia de los datos, Datos, Enfoque a resultados, Ingeniería, Inteligencia artificial, Machine learning, Python, Sql",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-en-bogota-dc-9A0DDB39E9CBDFD861373E686DCF3405#lc=ListOffers-Score4-8,Universidad / Carrera Profesional,3,"Análisis, Aplicaciones, Ciencia De Los Datos, Datos, Enfoque A Resultados, Ingeniería, Inteligencia Artificial, Machine Learning, Python, Sql",No especificado,"Python, R, SQL, Machine Learning General, NLP / LLMs, Estadística / Modelamiento",6,5000000.0,5.0,Semi-Senior (2-3 años),3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
9E45019E88C18D4461373E686DCF3405,Científico de Datos Machine Learning,LIQUITTY COLOMBIA - CIBERGESTION COLOMBIA.,"4,3",A convenir / No especificado,No especificada,Hace  3  días,"Oferta de Trabajo: Científico de Datos
LIQUITTY COLOMBIA buscamos Científicos de Datos con experiencia en machine learning.
Importante contar con habilidades comprobadas en análisis avanzado de datos, desarrollo de modelos predictivos y generación de insights estratégicos.
Requisitos:
Profesional Economista, Ingeniero, matemático, estadístico con especialización o maestría en Ciencia de Datos.
Experiencia demostrada en el uso de SQL, Python y R. minima de 3 años
Sólidos conocimientos en diseño y optimización de modelos de datos y machine learning.
Conocimientos en MongoDB, Knime, PySpark.
Capacidad para liderar iniciativas de análisis de datos y generar insights estratégicos.
Responsabilidades :
Aplicar habilidades integrales de gestión de proyectos, abarcando desde la concepción inicial hasta la ejecución y cierre. Esto incluye la capacidad de planificar desde cero, definir objetivos claros, diseñar estrategias efectivas, gestionar recursos y coordinar equipos, asegurando el cumplimiento de las etapas del proyecto con eficiencia y alineación a los objetivos organizacionales.
Aplicar técnicas estadísticas avanzadas y algoritmos de machine learning para procesar y analizar grandes volúmenes de datos, extrayendo información clave para apoyar la toma de decisiones.
Detectar patrones, relaciones y tendencias ocultas en los datos, generando insights que proporcionen valor estratégico a la organización y faciliten la mejora continua de los procesos.
Desarrollar y entrenar modelos de machine learning para predecir comportamientos futuros y resultados, permitiendo la anticipación de eventos críticos.
Proponer soluciones estratégicas basadas en los hallazgos del análisis de datos, ofreciendo información precisa y útil para respaldar decisiones a nivel táctico y estratégico.
Evaluar y ajustar modelos y procesos de manera constante para asegurar su precisión, efectividad y alineación con los objetivos de la organización.
Automatización de modelos, optimizar procesos repetitivos y mejorar la eficiencia operativa mediante herramientas de aprendizaje automático.
Garantizar el monitoreo y reporting garantizando que las decisiones se tomen con datos y accionables. (Información o Insights que pueden traducirse directamente en acciones específicas para mejorar un proceso)
Visualización de datos: crear visualizaciones claras Y efectivas para comunicar hallazgo y recomendaciones diferentes partes interesadas en la empresa
Contrato : Indefinido
Horario: Lunes a vienes 07:00 - 05:00 pm y sábados al medio.
Si cuentas con los conocimientos y experiencia no olvides postularte .","Educación mínima: Universidad / Carrera Profesional | años de experiencia | Conocimientos: Análisis, Machine learning, Python",https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cientifico-de-datos-machine-learning-medellin-en-medellin-9E45019E88C18D4461373E686DCF3405#lc=ListOffers-Score4-9,Universidad / Carrera Profesional,1,"Análisis, Machine Learning, Python",No especificado,"Python, R, SQL, Spark / PySpark, Machine Learning General, Estadística / Modelamiento, Bases de Datos NoSQL",7,,,Junior / Trainee (0-1 años),3.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
